popularity,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre_acoustic,track_genre_classical,track_genre_country,track_genre_disco,track_genre_funk,track_genre_hip-hop,track_genre_jazz,track_genre_pop,track_genre_rock,track_genre_world-music
38,241.932,0,0.823,0.256,10,-17.652,1,0.0549,0.261,0.000675,0.06,0.775,97.796,4,0,0,0,0,0,0,1,0,0,0
74,423.84,0,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,4,0,0,1,0,0,0,0,0,0,0
77,215.133,0,0.544,0.897,3,-6.056,0,0.0471,0.241,0.0,0.13,0.647,157.17,4,0,0,0,0,0,0,0,0,1,0
0,180.566,0,0.683,0.534,4,-10.348,1,0.189,0.519,0.247,0.148,0.284,150.469,4,0,0,0,0,0,0,0,1,0,0
56,325.002,0,0.502,0.68,0,-6.172,1,0.0347,0.754,0.0,0.0866,0.786,156.935,4,0,0,0,0,1,0,0,0,0,0
0,213.733,0,0.289,0.841,4,-3.615,1,0.0497,0.205,0.0,0.37,0.392,171.91,4,0,0,1,0,0,0,0,0,0,0
0,219.226,0,0.403,0.196,3,-20.749,1,0.049,0.993,0.884,0.113,0.548,99.506,4,0,1,0,0,0,0,0,0,0,0
64,239.826,0,0.613,0.559,2,-14.127,1,0.0268,0.0992,0.0205,0.314,0.772,104.1,4,0,0,0,1,0,0,0,0,0,0
65,182.608,0,0.651,0.827,10,-5.108,0,0.0319,0.00162,0.0902,0.0803,0.851,114.918,4,0,0,0,0,0,1,0,0,0,0
0,171.44,0,0.541,0.871,1,-4.741,1,0.122,0.00527,0.0,0.0867,0.666,179.973,4,0,0,1,0,0,0,0,0,0,0
0,307.88,0,0.546,0.579,5,-9.834,0,0.0277,0.38,1.53e-05,0.0716,0.255,96.029,4,0,0,0,1,0,0,0,0,0,0
0,307.429,0,0.711,0.916,7,-2.91,1,0.051,0.00125,0.137,0.0489,0.735,124.976,4,0,0,0,1,0,0,0,0,0,0
61,324.346,0,0.608,0.604,5,-12.285,1,0.0433,0.169,0.000133,0.106,0.673,164.254,4,0,0,0,1,0,0,0,0,0,0
55,219.72,0,0.468,0.786,9,-2.757,1,0.0334,0.0363,0.0,0.31,0.461,84.992,4,0,0,0,0,0,0,0,0,0,1
12,69.08,0,0.555,0.035,9,-25.875,1,0.034,0.995,0.934,0.135,0.797,140.358,3,0,1,0,0,0,0,0,0,0,0
0,69.0,0,0.635,0.393,9,-10.889,1,0.0394,0.652,0.0,0.0845,0.97,107.172,4,0,0,0,0,0,0,1,0,0,0
64,234.731,0,0.43,0.708,0,-7.14,1,0.0336,0.0561,0.0,0.704,0.243,75.024,4,0,0,0,0,0,0,0,0,0,1
49,273.96,0,0.391,0.246,3,-9.214,1,0.0271,0.85,0.0,0.0893,0.118,71.616,4,0,0,0,0,0,0,0,0,0,1
65,241.4,0,0.547,0.831,11,-11.298,0,0.0319,0.0874,8.34e-06,0.222,0.909,168.581,4,0,0,0,1,0,0,0,0,0,0
65,213.0,0,0.801,0.446,10,-14.605,1,0.0735,0.74,0.038,0.0832,0.925,97.898,4,0,0,0,1,0,0,0,0,0,0
2,230.826,0,0.755,0.844,5,-6.234,0,0.326,0.328,8.8e-06,0.555,0.745,171.867,4,0,0,0,0,0,0,0,1,0,0
55,238.971,0,0.582,0.375,1,-13.277,0,0.0329,0.702,0.0631,0.136,0.106,129.909,4,1,0,0,0,0,0,0,0,0,0
62,400.115,0,0.629,0.851,5,-11.182,0,0.0294,0.0309,0.303,0.0947,0.961,130.7,4,0,0,0,1,0,0,0,0,0,0
76,230.613,0,0.509,0.448,4,-7.552,0,0.0357,0.00713,0.0137,0.244,0.221,156.909,3,0,0,0,0,0,0,0,0,1,0
0,192.16,0,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,0,0,0,0,0,0,1,0,0,0
2,169.666,0,0.577,0.834,5,-3.337,1,0.0689,0.0134,0.0,0.121,0.575,107.936,4,0,0,0,0,0,0,0,0,1,0
0,171.773,0,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,0,0,0,0,0,0,1,0,0,0
64,238.0,0,0.643,0.568,1,-9.903,1,0.0222,0.135,0.0,0.195,0.434,95.17,4,0,0,0,1,0,0,0,0,0,0
66,234.56,0,0.543,0.227,8,-11.247,1,0.0298,0.767,4.29e-05,0.103,0.292,123.548,4,0,0,1,0,0,0,0,0,0,0
0,143.226,0,0.684,0.491,0,-7.655,1,0.0361,0.71,0.0,0.144,0.4,117.916,4,0,0,0,0,0,0,0,0,1,0
78,270.0,0,0.557,0.794,11,-5.698,0,0.2,0.179,0.0,0.106,0.432,91.366,4,0,0,0,0,0,1,0,0,0,0
26,116.0,0,0.437,0.216,0,-21.602,1,0.0522,0.957,0.936,0.0983,0.0299,120.266,3,0,0,0,0,0,0,0,0,0,1
38,152.84,0,0.414,0.328,10,-19.644,0,0.0661,0.86,0.828,0.164,0.79,145.715,3,0,1,0,0,0,0,0,0,0,0
48,279.272,0,0.663,0.41,8,-7.652,1,0.425,0.759,0.0,0.0916,0.652,112.372,4,0,0,0,0,1,0,0,0,0,0
45,196.772,0,0.584,0.626,4,-5.068,0,0.411,0.0656,2.71e-05,0.165,0.835,112.36,3,0,0,0,0,1,0,0,0,0,0
40,270.56,0,0.303,0.685,8,-6.018,1,0.0409,0.0834,0.0,0.14,0.248,155.862,3,0,0,0,0,0,0,0,0,0,1
43,192.024,1,0.62,0.414,7,-7.916,0,0.899,0.708,0.0,0.319,0.319,173.829,5,0,0,0,0,1,0,0,0,0,0
0,84.986,0,0.553,0.337,10,-10.334,1,0.0303,0.818,0.0,0.113,0.664,102.213,4,0,0,0,0,0,0,1,0,0,0
61,197.142,0,0.793,0.719,11,-3.698,0,0.125,0.352,0.0,0.574,0.435,83.925,4,0,0,0,0,0,1,0,0,0,0
4,256.76,0,0.659,0.741,1,-4.354,0,0.0388,0.072,0.0,0.166,0.454,122.013,4,0,0,0,0,0,0,0,0,1,0
44,203.32,0,0.598,0.715,11,-6.036,1,0.0449,0.0111,0.0,0.233,0.319,95.028,4,0,0,0,0,0,0,0,0,0,1
0,131.76,0,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,4,1,0,0,0,0,0,0,0,0,0
0,105.346,0,0.494,0.644,0,-11.781,1,0.905,0.704,0.0,0.781,0.866,206.13,4,0,0,0,0,0,0,1,0,0,0
0,163.36,0,0.69,0.373,8,-5.566,1,0.0286,0.618,0.0,0.128,0.473,124.082,3,0,0,1,0,0,0,0,0,0,0
55,489.453,0,0.363,0.533,2,-8.319,1,0.0314,0.136,0.0,0.358,0.0693,144.005,4,0,0,0,0,0,0,0,0,0,1
65,243.591,0,0.41,0.455,4,-8.071,1,0.0316,0.731,0.0,0.185,0.361,90.993,4,0,0,0,0,0,0,0,1,0,0
0,172.342,0,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,0,0,0,0,0,1,0,0,0,0
47,240.266,0,0.368,0.681,4,-6.451,1,0.0689,0.0645,0.0,0.0666,0.185,125.071,4,0,0,0,0,0,0,0,0,0,1
86,198.081,1,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,4,0,0,0,0,0,0,0,1,0,0
42,457.495,0,0.787,0.892,9,-5.379,0,0.0588,0.0936,0.0101,0.122,0.704,122.688,4,0,0,0,1,0,0,0,0,0,0
2,177.013,0,0.442,0.286,1,-16.598,1,0.0419,0.968,0.811,0.0886,0.629,146.761,3,0,1,0,0,0,0,0,0,0,0
67,230.082,0,0.441,0.61,9,-5.182,0,0.0404,0.238,0.0,0.101,0.348,79.736,4,0,0,0,0,0,0,0,1,0,0
70,157.837,0,0.759,0.711,0,-5.199,1,0.0384,0.0477,1.19e-06,0.143,0.436,111.902,4,0,0,0,0,1,0,0,0,0,0
0,220.133,0,0.585,0.34,2,-8.433,0,0.0243,0.767,4.36e-06,0.254,0.26,100.379,4,0,0,1,0,0,0,0,0,0,0
77,212.568,0,0.646,0.85,2,-5.466,1,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,4,0,0,0,0,0,0,0,0,1,0
30,206.933,0,0.415,0.358,7,-13.509,1,0.0382,0.759,0.0,0.67,0.422,125.414,4,0,0,0,1,0,0,0,0,0,0
36,386.04,0,0.546,0.514,9,-7.224,1,0.0324,0.377,6.87e-06,0.1,0.14,119.91,4,0,0,0,0,0,0,0,0,0,1
0,141.986,0,0.242,0.0296,5,-28.611,1,0.0401,0.993,0.902,0.0751,0.0438,70.249,4,0,1,0,0,0,0,0,0,0,0
29,128.731,0,0.49,0.749,9,-2.244,0,0.0649,0.389,0.0,0.0792,0.739,144.87,4,1,0,0,0,0,0,0,0,0,0
75,171.743,0,0.456,0.437,8,-11.156,1,0.0867,0.839,0.0,0.218,0.209,108.678,4,0,0,0,0,0,0,0,1,0,0
67,230.068,0,0.524,0.601,8,-6.112,0,0.0404,0.663,0.0,0.114,0.598,72.048,4,0,0,0,0,0,1,0,0,0,0
0,256.2,0,0.631,0.867,10,-2.207,1,0.036,0.237,0.0,0.12,0.916,92.136,4,0,0,0,1,0,0,0,0,0,0
51,151.307,1,0.244,0.754,10,-6.082,1,0.0646,0.0726,0.0,0.236,0.45,169.899,4,0,0,1,0,0,0,0,0,0,0
88,244.804,0,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02,4,0,0,0,0,0,0,0,0,1,0
0,328.92,0,0.772,0.76,1,-8.817,0,0.0478,0.241,0.00615,0.032,0.927,111.238,4,0,0,0,0,1,0,0,0,0,0
0,147.72,0,0.499,0.295,5,-11.782,1,0.0287,0.794,0.0,0.0829,0.323,154.938,3,0,0,1,0,0,0,0,0,0,0
29,259.487,0,0.402,0.83,3,-10.823,1,0.399,0.961,0.531,0.196,0.752,171.774,4,0,1,0,0,0,0,0,0,0,0
2,340.92,1,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953,4,0,0,0,0,0,1,0,0,0,0
0,200.461,0,0.43,0.543,8,-6.296,1,0.0367,0.463,0.000523,0.0928,0.354,143.912,4,0,0,0,0,0,0,1,0,0,0
84,270.586,1,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,4,0,0,0,0,1,0,0,0,0,0
71,195.616,0,0.742,0.911,8,-2.812,1,0.0572,0.0137,0.00081,0.0593,0.78,101.0,4,0,0,0,0,0,0,0,1,0,0
0,115.24,0,0.484,0.332,1,-10.312,1,0.037,0.787,0.0,0.373,0.683,134.999,4,0,0,0,0,0,0,1,0,0,0
70,203.24,0,0.575,0.764,4,-7.448,1,0.0746,0.566,1.07e-05,0.0692,0.536,123.821,4,0,0,0,1,0,0,0,0,0,0
59,232.0,0,0.847,0.583,11,-8.631,1,0.411,0.12,0.0,0.555,0.837,83.996,4,0,0,0,0,0,1,0,0,0,0
0,118.84,0,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,0,0,0,0,0,0,0,0,1,0
59,193.695,0,0.687,0.748,3,-4.54,1,0.0785,0.24,0.0,0.373,0.872,88.944,4,1,0,0,0,0,0,0,0,0,0
69,245.253,0,0.788,0.846,4,-5.017,1,0.0372,0.0103,0.000281,0.26,0.738,115.636,4,0,0,0,1,0,0,0,0,0,0
0,273.773,0,0.745,0.699,1,-10.517,0,0.0328,0.261,0.0,0.0795,0.881,116.927,4,0,0,0,1,0,0,0,0,0,0
0,171.587,0,0.688,0.788,5,-3.064,0,0.0436,0.0164,0.000306,0.541,0.774,101.006,4,0,0,0,1,0,0,0,0,0,0
70,220.573,0,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,4,1,0,0,0,0,0,0,0,0,0
65,240.169,0,0.627,0.779,4,-4.944,0,0.0392,0.214,9.34e-06,0.112,0.619,149.929,4,0,0,0,0,0,0,0,1,0,0
68,205.533,0,0.702,0.933,2,-11.876,1,0.0492,0.0519,0.000128,0.155,0.896,115.114,4,0,0,0,1,0,0,0,0,0,0
